,Window_Size,Window_Step,Accuracy
0,50,50,0.903768506056528
1,50,62,0.908333333333333
2,50,74,0.907370517928287
3,50,86,0.911935110081112
4,50,98,0.896052631578947
5,100,100,0.898648648648649
6,100,125,0.900337837837838
7,100,150,0.910750507099391
8,100,175,0.909952606635071
9,150,150,0.922920892494929
10,150,187,0.914357682619647
11,150,224,0.91566265060241
12,150,261,0.902097902097902
13,150,298,0.875
14,200,200,0.923705722070845
15,200,250,0.901694915254237
16,200,300,0.898373983739837
17,200,350,0.900943396226415
18,250,250,0.905084745762712
19,250,312,0.893162393162393
20,250,374,0.897435897435897
21,250,436,0.900584795321637
22,250,498,0.945205479452055
23,300,300,0.914634146341463
24,300,375,0.897959183673469
25,300,450,0.907407407407407
26,300,525,0.956521739130435
27,350,350,0.951923076923077
28,350,437,0.92814371257485
29,350,524,0.956521739130435
30,350,611,0.859504132231405
31,350,698,0.904761904761905
32,400,400,0.901098901098901
33,400,500,0.931506849315068
34,400,600,0.95
35,400,700,0.885714285714286
36,450,450,0.91358024691358
37,450,562,0.886363636363636
38,450,674,0.91588785046729
39,450,786,0.923076923076923
40,450,898,0.902439024390244
41,500,500,0.917808219178082
42,500,625,0.921052631578947
43,500,750,0.979381443298969
44,500,875,0.916666666666667
45,550,550,0.876923076923077
46,550,687,0.865384615384615
47,550,824,0.911111111111111
48,550,961,0.960526315789474
49,550,1098,0.954545454545455
50,600,600,0.941666666666667
51,600,750,0.979381443298969
52,600,900,0.878048780487805
53,600,1050,0.911764705882353
54,650,650,0.908256880733945
55,650,812,0.876404494382022
56,650,974,0.931506849315068
57,650,1136,0.841269841269841
58,650,1298,0.946428571428571
59,700,700,0.861386138613861
60,700,875,0.9125
61,700,1050,0.955882352941176
62,700,1225,0.859649122807017
63,750,750,0.958762886597938
64,750,937,0.906666666666667
65,750,1124,0.920634920634921
66,750,1311,0.910714285714286
67,750,1498,0.854166666666667
68,800,800,0.920454545454545
69,800,1000,0.928571428571429
70,800,1200,0.885245901639344
71,800,1400,0.918367346938775
